date,ask_C,ask_mm,wcus_C,wcus_mm,acn_C,acn_mm,acs_C,acs_mm,gp_C,gp_mm,ice_C,ice_mm,sva_C,sva_mm,sav_C,sav_mm,rac_C,rac_mm,na_C,na_mm,ce_C,ce_mm,cme_C,cme_mm,ca_C,ca_mm,saw_C,saw_mm,sae_C,sae_mm,lol_C,lol_mm,san_C,san_mm,nz_C,nz_mm,as_C,as_mm
30/1/2000,-12.43833221,16.46503684,-9.508712477,0.088517492,-33.79175236,0.065736557,-32.11643563,0.254295992,-32.82527557,0.586566244,-13.79930346,2.766388307,-20.90594055,0.876893019,-12.34889172,8.710989748,-22.26670545,0.638632035,-27.50868033,0.220638462,-6.692043941,22.16918755,-13.3504314,0.004038888,-18.99693566,1.704721212,-21.99676115,2.024908708,-18.36604436,0.707116671,3.877117613,12.65790463,-0.28937583,20.53455434,3.092376036,15.00823443,-5.13903569,2.098811701
31/1/2000,-9.375992478,25.30992989,-8.668894417,6.153058795,-34.48985797,0.140443526,-30.63626318,0.004810911,-33.07021058,0.357755278,-11.98836585,4.871468364,-16.95576979,3.741130603,-12.28734618,6.757507226,-21.45938731,1.466206999,-26.29676748,0.226671459,-5.572089099,0.037493426,-11.99339004,5.244202982,-18.36060144,1.712679205,-21.50453159,4.660813664,-17.38705828,2.495764484,3.678222886,11.96613857,1.216014966,19.97307346,4.916685548,3.312108302,-4.927072187,0.553816817
1/2/2000,-13.30773163,5.525630909,-8.947659588,16.33036335,-29.96100255,0.3290079,-30.55624913,0.004373035,-33.60688723,0.456920016,-9.587067993,4.509358067,-17.92586569,2.109705914,-11.16724913,8.16266997,-18.32206413,1.944936396,-27.3265669,0.381666339,-4.762566041,0.00486734,-13.39408982,2.348539186,-20.39242598,0.875324084,-22.42386302,4.41970962,-17.90436633,11.03821261,4.10983222,8.058680378,2.465748447,21.4308472,4.471880221,1.667407402,-4.726646311,0.664408922
2/2/2000,-10.77053989,10.92382053,-7.575744675,5.552170881,-26.55400413,3.475438295,-28.00671638,0.283843389,-30.11475347,0.508157377,-9.691630029,1.49563366,-20.60427938,1.447283586,-11.34292201,4.825150589,-17.83934475,2.499360925,-25.52524781,0.372859043,-5.100355322,6.577164086,-14.89490354,0.294247956,-21.70364473,0.618558891,-24.49907723,1.249543888,-18.14923059,4.655282036,4.187406345,6.6094692,1.808005817,6.432864407,5.382028544,0.568053483,-4.971076422,1.477674417
3/2/2000,-9.112170812,10.16914667,-9.254276498,0.05987156,-27.13053222,1.232621525,-26.15535875,1.124515692,-25.96844502,0.741335827,-6.30847673,7.493432174,-22.02603302,0.335261409,-10.80704642,6.084350118,-17.74152205,1.289102051,-24.00767182,0.18529587,-7.061626245,1.156840989,-11.01165822,0.369187025,-21.86930219,0.544750692,-24.65977945,1.51226687,-17.5729279,1.740590421,4.816954652,11.15375102,3.379515157,32.91164774,7.212740978,4.497437449,-3.301956037,3.668373899
4/2/2000,-7.657105041,0.895735235,-8.858132406,0.011583454,-29.80751464,0.331655153,-26.4251966,1.201932061,-28.36593872,0.926349542,-4.210618488,12.3345556,-23.7338844,0.065456235,-6.820986264,21.16122222,-19.36808307,1.167621798,-24.63667163,0.629795906,-8.612386463,0.046152548,-10.1977356,7.076512906,-22.50043811,0.470061854,-24.98084312,1.449412179,-16.92818776,4.732033739,4.417406868,9.309345888,0.053805043,15.01428889,9.150044468,2.7186811,-2.288041351,3.552357814
5/2/2000,-6.397541124,7.814774905,-9.59242108,0.02349104,-33.75296033,0.056905203,-27.97802768,0.769469547,-30.85204664,0.645374564,-4.926867827,14.85625627,-25.62565601,0.199979178,-5.423602924,9.159133179,-21.47718994,0.589332131,-24.02139475,0.375690836,-5.59000509,0.68813252,-14.62814233,2.701544628,-22.00934199,0.438139615,-24.51756343,1.28523947,-16.66409685,9.503048418,4.72016655,7.443628719,-0.436100577,17.38601606,9.856018846,16.30046431,-4.187850838,1.517229933
6/2/2000,-7.147944459,3.649832046,-8.948259108,1.23216627,-34.19913406,0.081665789,-29.74836236,0.254499865,-31.3855529,0.448197212,-8.063183129,2.862598486,-23.37439218,0.307349748,-4.690292155,14.75262887,-21.55895854,0.990775857,-21.7036753,0.561256099,-5.823137791,0.003311024,-16.62829885,1.88956334,-21.49845253,0.336244869,-26.41505866,0.143076435,-17.57335601,3.028267331,4.407988782,10.74870715,0.955212166,22.1754035,4.78652106,10.501954,-5.526062224,0.69708781
7/2/2000,-8.082188729,1.916836026,-7.286962756,11.22444778,-34.27944962,0.038271457,-30.59346559,0.15293678,-31.22823749,0.474982316,-9.841204607,3.041356404,-21.44427161,0.248236603,-5.223240625,8.790177124,-23.68625001,0.505734074,-20.26366606,0.586610783,-6.44667614,1.57940944,-17.30956384,0.357660881,-21.27881371,0.193301398,-27.66465098,0.039325304,-19.19502002,1.950910776,4.392848614,12.90655817,3.274260853,4.721512894,6.418705426,1.145979672,-6.276693702,0.364906522
8/2/2000,-10.20441823,0.649772249,-5.955124642,6.506074981,-35.09744081,0.089478523,-31.81229422,0.070044823,-29.58061747,0.631599811,-6.741178131,7.158768718,-20.35867153,1.12854012,-7.575564021,2.238522381,-24.52065078,0.793289431,-18.85963216,0.908642994,-4.471609469,12.2113797,-12.13548223,0.080520583,-21.08675388,0.205517388,-27.59413402,0.340855519,-18.79974702,1.828102301,4.720146888,8.347218831,4.097956346,2.826930665,8.223567426,0.951276108,-6.394241994,1.413556469
